id,name,nationality,income,debtRatio,creditScore,loanAmount,gender,age,riskProbability,decision
LENDING-10000,"Charles Garcia",Japan,45366,0.3876,729,6408,Male,70,0.3256,Approve
LENDING-10001,"Patricia Miller",United Kingdom,101402,0.5348,690,21907,Male,73,0.3843,Reject
LENDING-10002,"Charles Williams",United Kingdom,24426,0.2728,695,6895,Other,32,0.3387,Approve
LENDING-10003,"Karen Hernandez",France,30718,0.0058,730,13792,Female,21,0.2173,Approve
LENDING-10004,"James Garcia",Germany,32151,0.4956,710,5000,Male,67,0.3853,Reject
LENDING-10005,"John Jackson",United States,19950,0.2133,730,5101,Other,62,0.2849,Approve
LENDING-10006,"Susan Thomas",Japan,23171,0.2893,717,5000,Female,42,0.3203,Approve
LENDING-10007,"Susan Jones",United Kingdom,22826,0.0671,693,6138,Other,50,0.2800,Approve
LENDING-10008,"Richard Martinez",Singapore,36658,0.4586,641,15815,Other,41,0.4473,Reject
LENDING-10009,"Patricia Jones",United States,15340,0.6469,776,5000,Female,24,0.3671,Reject
LENDING-10010,"Jennifer Thomas",Singapore,23819,0.2927,685,9887,Male,53,0.3559,Approve
LENDING-10011,"Mary Hernandez",United Kingdom,23126,0.3419,713,5000,Male,73,0.3405,Approve
LENDING-10012,"Sarah Hernandez",United Kingdom,26959,0.4550,663,5175,Female,27,0.4270,Reject
LENDING-10013,"Robert Moore",United States,72742,0.4114,548,13669,Other,50,0.5165,Reject
LENDING-10014,"Karen Martinez",Japan,146575,0.4829,675,59829,Other,41,0.3625,Reject
LENDING-10015,"Richard Garcia",Canada,38033,0.2915,571,11721,Other,48,0.4728,Reject
LENDING-10016,"Joseph Wilson",Australia,30250,0.1933,611,11224,Female,70,0.4036,Reject
LENDING-10017,"Elizabeth Martinez",Canada,33384,0.2500,732,6258,Male,53,0.2870,Approve
LENDING-10018,"Joseph Martinez",Australia,43112,0.2018,731,8884,Male,38,0.2688,Approve
LENDING-10019,"Mary Thomas",Singapore,43010,0.5144,774,20911,Other,60,0.3157,Reject
LENDING-10020,"William Smith",Japan,67267,0.4065,685,10751,Female,45,0.3683,Approve
