id,name,nationality,income,debtRatio,creditScore,loanAmount,gender,age,riskProbability,decision,debt_to_income,credit_utilization,payment_history_score,loan_repayment_ratio
LENDING-10000,Charles Garcia,Japan,45366,0.3876,729,6408,Male,70,0.3256,Approve,0.14125115725433143,0.3,1.0,7.079588014981273
LENDING-10001,Patricia Miller,United Kingdom,101402,0.5348,690,21907,Male,73,0.3843,Reject,0.21604110372576477,0.3,1.0,4.628748801752864
LENDING-10002,Charles Williams,United Kingdom,24426,0.2728,695,6895,Other,32,0.3387,Approve,0.28228117579628265,0.3,1.0,3.5425670775924583
LENDING-10003,Karen Hernandez,France,30718,0.0058,730,13792,Female,21,0.2173,Approve,0.44898756429455045,0.3,1.0,2.2272331786542923
LENDING-10004,James Garcia,Germany,32151,0.4956,710,5000,Male,67,0.3853,Reject,0.15551615812882957,0.3,1.0,6.4302
LENDING-10005,John Jackson,United States,19950,0.2133,730,5101,Other,62,0.2849,Approve,0.25568922305764413,0.3,1.0,3.9109978435600863
LENDING-10006,Susan Thomas,Japan,23171,0.2893,717,5000,Female,42,0.3203,Approve,0.21578697509818306,0.3,1.0,4.6342
LENDING-10007,Susan Jones,United Kingdom,22826,0.0671,693,6138,Other,50,0.28,Approve,0.26890388153859635,0.3,1.0,3.7188009123492995
LENDING-10008,Richard Martinez,Singapore,36658,0.4586,641,15815,Other,41,0.4473,Reject,0.43142015385454746,0.3,1.0,2.317926019601644
LENDING-10009,Patricia Jones,United States,15340,0.6469,776,5000,Female,24,0.3671,Reject,0.3259452411994785,0.3,1.0,3.068
LENDING-10010,Jennifer Thomas,Singapore,23819,0.2927,685,9887,Male,53,0.3559,Approve,0.4150887946597254,0.3,1.0,2.4091230909274803
LENDING-10011,Mary Hernandez,United Kingdom,23126,0.3419,713,5000,Male,73,0.3405,Approve,0.21620686673008735,0.3,1.0,4.6252
LENDING-10012,Sarah Hernandez,United Kingdom,26959,0.455,663,5175,Female,27,0.427,Reject,0.1919581586854112,0.3,1.0,5.2094685990338165
LENDING-10013,Robert Moore,United States,72742,0.4114,548,13669,Other,50,0.5165,Reject,0.18791069808363806,0.3,1.0,5.321676786890043
LENDING-10014,Karen Martinez,Japan,146575,0.4829,675,59829,Other,41,0.3625,Reject,0.40818011257035647,0.3,1.0,2.449898878470307
LENDING-10015,Richard Garcia,Canada,38033,0.2915,571,11721,Other,48,0.4728,Reject,0.3081797386480162,0.3,1.0,3.244859653613173
LENDING-10016,Joseph Wilson,Australia,30250,0.1933,611,11224,Female,70,0.4036,Reject,0.37104132231404957,0.3,1.0,2.6951176051318604
LENDING-10017,Elizabeth Martinez,Canada,33384,0.25,732,6258,Male,53,0.287,Approve,0.1874550682961898,0.3,1.0,5.334611697027804
LENDING-10018,Joseph Martinez,Australia,43112,0.2018,731,8884,Male,38,0.2688,Approve,0.2060679161254407,0.3,1.0,4.8527690229626295
